Computer Science I,CSCI,1100,"['M 4:00-4:50PM','M 5:00-5:50PM','M 6:00-6:50PM', 'T 10:00-11:50AM', 'T 12:00-1:50PM', 'T 2:00-3:50PM', 'T 4:00-4:50PM', 'T 5:00-5:50PM', 'T 6:00-6:50PM', 'W 10:00-11:50AM', 'W 12:00-1:50PM', 'W 2:00-3:50PM', 'W 4:00-5:50PM']"
Beginning Prog for Engineers,CSCI,1190,"['M 4:00-5:50PM', 'R 4:00-5:50PM', 'R 6:00-7:50PM']"
Data Structures,CSCI,1200,"['M 4:00-4:50PM', 'M 5:00-5:50PM', 'M 6:00-6:50PM', 'T 4:00-4:50PM', 'T 5:00-5:50PM', 'T 6:00-6:50PM', 'W 10:00-11:50AM', 'W 12:00-1:50PM', 'W 2:00-3:50PM', 'W 4:00-5:50PM', 'W 6:00-7:50PM']"
Foundations of Computer Science,CSCI,2200,"['W 10:00-10:50AM', 'W 11:00-11:50AM', 'W 12:00-12:50PM', 'W 1:00-1:50PM', 'W 4:00-4:50PM']"
Intro to Algorithms,CSCI,2300,"['W 10:00-11:50AM', 'W 12:00-1:50PM', 'W 2:00-3:50PM', 'W 4:00-5:50PM']"
Computer Organization,CSCI,2500,"['W 10:00-11:50AM', 'W 12:00-1:50PM', 'W 2:00-3:50PM']"
Principles of Software,CSCI,2600,
Intro to AI,CSCI,4150,
Operation Systems,CSCI,4210,
Database Systems,CSCI,4380,
